nome,tipo,latitude,longitude
Escola Classe 52 de Taguatinga,Escola,-15.8009496,-48.1024624
Escola Classe 45 de Taguatinga,Escola,-15.7938856,-48.1074674
Centro de Ensino Fundamental 17 de Taguatinga,Escola,-15.7965595,-48.1023497
Centro de Ensino Especial 01 de Taguatinga,Escola,-15.8158347,-48.0859146
Escola Classe 29 de Taguatinga,Escola,-15.8150174,-48.0861907
Centro Educacional 05 de Taguatinga,Escola,-15.816291,-48.0872454
Centro de Educação Infantil 05 de Taguatinga,Escola,-15.8153945,-48.0813827
Centro de Ensino 14 de Taguatinga,Escola,-15.8201393,-48.0787582
Centro de Ensino Fundamental de Taguatinga,Escola,-15.822934,-48.0829238
Centro Educacional 06 de Taguatinga,Escola,-15.8317132,-48.0784313
Escola Classe 50 de Taguatinga,Escola,-15.8309314,-48.0750222
Escola Classe 12 de Taguatinga,Escola,-15.8055812,-48.0791453
Escola Classe 27 de Taguatinga,Escola,-15.8132804,-48.0683782
Escola Classe 18 de Taguatinga,Escola,-15.8124604,-48.0592165
Centro de Ensino Fundamental 08 de Taguatinga,Escola,-15.8173041,-48.0583993
Escola Classe 06 de Taguatinga,Escola,-15.8198697,-48.0622287
Escola Classe 19 de Taguatinga,Escola,-15.8226622,-48.0567251
UNEPOS - União de Estudos e Pós-Graduação,Universidade,-15.8233904,-48.0255371
Ortotrauma,Clínica,-15.8227417,-48.0245118
Escola Classe 02 - Vicente Pires,Escola,-15.8005066,-48.0489662
Colégio Sursum Corda,Escola,-15.7919926,-48.0465622
Colégio Anchieta,Escola,-15.8511598,-48.0651668
LAGAS ldmm,Escola,-15.7607002,-47.8702594
Departamento de Geografia,Escola,-15.7610372,-47.8707349
Sala de Aula,Escola,-15.7606721,-47.8708464
UBS 01 - Paranoá,Clínica,-15.7692895,-47.7799107
Estácio Polo EAD,Universidade,-15.8046656,-48.0427985
Unip - Polo Ead,Universidade,-15.8129705,-48.0123662
Colégio Vitória Régia,Escola,-15.8089717,-48.0247459
Cria Ativa,Escola,-15.8289445,-48.037705
Colégio Gauí,Escola,-15.791334,-48.0284326
Escola e Creche Vila do Sol,Escola,-15.8090375,-48.0209224
Colégio Recreio,Escola,-15.7977264,-48.0147547
CEE 01 de Sobradinho,Escola,-15.6502421,-47.778939
CEF 03 de Sobradinho,Escola,-15.6506224,-47.7992027
CEF 04 de Sobradinho,Escola,-15.6461205,-47.77853
CEM 01 de Sobradinho,Escola,-15.6538409,-47.7986163
EC 01 de Sobradinho,Escola,-15.649661,-47.7989711
EC 04 de Sobradinho,Escola,-15.6457263,-47.7778069
EC 05 de Sobradinho,Escola,-15.6401883,-47.802136
EC 12 de Sobradinho,Escola,-15.6601997,-47.8081062
EC 15 de Sobradinho,Escola,-15.6521219,-47.8091282
Colégio Projeção,Escola,-15.6501951,-47.7822889
Centro Educacional Lumni,Escola,-15.6559807,-47.7934665
Sabin,Clínica,-15.8903224,-47.810538
Exame,Clínica,-15.8253504,-47.930275
Sabin,Clínica,-15.8254799,-47.9300977
HFAB - Hospital de Força Aérea de Brasília,Hospital,-15.8690443,-47.9017371
Colégio Objetivo,Escola,-15.8465182,-47.9706592
BELLA VITA ESTÉTICA INTEGRADA,Hospital,-15.8406179,-47.8836992
Sem nome,Escola,-15.8371015,-47.9159772
